,date,ticker,shares,market value($),weight(%),shares_1d_chg,value_1d_chg,value_1d_chg_pct,value_5d_chg_pct
0,2021-01-05,SQ,946548.0,217469403.0,10.54,28825.0,14505784.32,7.15,8.42
0,2021-01-05,Z,688595.0,93404468.78,4.53,20975.0,6099801.38,6.99,7.75
0,2021-01-05,MELI,55368.0,91357200.0,4.43,1675.0,3300680.00,3.75,4.49
0,2021-01-05,TCEHY,1117412.0,85660803.92,4.15,34025.0,6736060.97,8.53,44.36
0,2021-01-05,ICE,725661.0,82391549.94,3.99,22100.0,2678088.64,3.36,5.35
0,2021-01-05,PINS,1182529.0,80908634.18,3.92,36025.0,2866106.90,3.67,6.37
0,2021-01-05,PYPL,325894.0,76555759.54,3.71,9925.0,3276229.06,4.47,5.03
0,2021-01-05,SE,371675.0,75424007.75,3.66,11325.0,4773786.75,6.76,18.64
0,2021-01-05,ADYEN,32874.0,73916387.2,3.58,1000.0,1320202.59,1.82,0.49
0,2021-01-05,BABA,258246.0,62082338.4,3.01,7875.0,5035306.05,8.83,23.23
0,2021-01-05,3690,1480615.0,56639355.25,2.75,45000.0,2465204.31,4.55,20.23
0,2021-01-05,AMZN,16546.0,53253466.46,2.58,500.0,2120801.48,4.15,3.25
0,2021-01-05,TWLO,153143.0,52258517.32,2.53,4675.0,2582609.20,5.20,1.13
0,2021-01-05,SNAP,979301.0,49268633.31,2.39,29825.0,2184118.47,4.64,9.87
0,2021-01-05,DOCU,207619.0,47440941.5,2.3,6325.0,2671142.96,5.97,5.07
0,2021-01-05,TREE UW,172402.0,47200219.56,2.29,0.0,31032.36,0.07,-0.16
0,2021-01-05,AAPL,350253.0,45886645.53,2.22,10675.0,1941856.55,4.42,1.02
0,2021-01-05,LSPD,672996.0,44792065.14,2.17,20000.0,1127890.16,2.58,2.42
0,2021-01-05,SI,641781.0,43711703.91,2.12,19550.0,2059560.77,4.94,7.32
0,2021-01-05,4689,6520007.0,41843589.23,2.03,200000.0,2832486.07,7.26,13.69
0,2021-01-05,SHOP,36833.0,41206550.42,2.0,1125.0,2199131.22,5.64,2.81
0,2021-01-05,FB,151056.0,40931644.32,1.98,4600.0,1543767.68,3.92,3.10
0,2021-01-05,WDAY,169550.0,38209788.0,1.85,5175.0,719138.00,1.92,-1.81
0,2021-01-05,6060,8032545.0,37917462.16,1.84,245000.0,1108433.90,3.01,13.31
0,2021-01-05,SPLK,227570.0,37940470.4,1.84,6925.0,1231761.75,3.36,0.09
0,2021-01-05,PDD,188222.0,35235158.4,1.71,5725.0,4798308.74,15.76,37.20
0,2021-01-05,INTU,91085.0,33598523.95,1.63,2775.0,773696.95,2.36,2.01
0,2021-01-05,TSM,257910.0,29084510.7,1.41,7875.0,1155601.20,4.14,11.97
0,2021-01-05,GWRE,222200.0,28128298.0,1.36,6775.0,971822.50,3.58,4.15
0,2021-01-05,JD,280756.0,26812198.0,1.3,8550.0,3312654.02,14.10,23.33
0,2021-01-05,SCHW,495592.0,26152389.84,1.27,15100.0,801631.92,3.16,5.06
0,2021-01-05,OPEN,1023523.0,26202188.8,1.27,31200.0,2376513.57,9.97,10.08
0,2021-01-05,DSY,2362539.0,23864205.45,1.16,71975.0,-120880.10,-0.50,0.81
0,2021-01-05,TCS LI,698232.0,22971832.8,1.11,21275.0,-10857.35,-0.05,22.10
0,2021-01-05,9923,4340400.0,22951898.83,1.11,130000.0,2697843.45,13.32,19.11
0,2021-01-05,4477,227800.0,22425102.24,1.09,7500.0,-616016.36,-2.67,10.98
0,2021-01-05,NVDA,41100.0,22037409.0,1.07,1250.0,1134490.00,5.43,9.51
0,2021-01-05,TDOC,107615.0,21627386.55,1.05,3275.0,693652.35,3.31,7.06
0,2021-01-05,BEKE,351780.0,21718897.2,1.05,10725.0,2104824.15,10.73,4.28
0,2021-01-05,HDB,283604.0,20289030.16,0.98,8650.0,1042250.16,5.42,6.80
0,2021-01-05,LC,1879598.0,18025344.82,0.87,0.0,169163.82,0.95,12.16
0,2021-01-05,VRSK,78979.0,15951388.63,0.77,2400.0,415041.11,2.67,2.33
0,2021-01-05,MKTX,17181.0,9522569.25,0.46,525.0,148905.57,1.59,3.27
0,2021-01-05,KSPI,42679.0,2842421.4,0.14,1300.0,119683.20,4.40,44.51
0,2021-01-05,8473,9900.0,245716.65,0.01,0.0,5329.89,2.22,-98.53
0,2021-01-05,6618,6925.0,127899.19,0.01,0.0,-2671.88,-2.05,-5.34
