,ticker,weight(%),2021-01-15,2021-01-14,2021-01-13,2021-01-12,2021-01-11
0,SQ,10.15,16142.0,13836.0,26519.0,0.0,24213.0
0,MELI,4.83,938.0,804.0,1541.0,0.0,1407.0
0,TCEHY,4.59,20202.0,17316.0,33189.0,0.0,30303.0
0,Z,4.46,11746.0,10068.0,19297.0,0.0,17619.0
0,ICE,4.13,12978.0,11124.0,21321.0,0.0,19467.0
0,SE,3.96,6342.0,5436.0,10419.0,0.0,9513.0
0,PINS,3.88,20174.0,17292.0,33143.0,0.0,30261.0
0,PYPL,3.68,5558.0,4764.0,9131.0,0.0,8337.0
0,ADYEN,3.35,560.0,480.0,920.0,0.0,840.0
0,BABA,2.96,4410.0,3780.0,7245.0,0.0,6615.0
0,TWLO,2.8,2618.0,2244.0,4301.0,0.0,3927.0
0,3690,2.77,25200.0,21600.0,41400.0,0.0,37800.0
0,DOCU,2.44,3542.0,3036.0,5819.0,0.0,5313.0
0,AMZN,2.42,280.0,240.0,460.0,0.0,420.0
0,SNAP,2.32,16702.0,14316.0,27439.0,0.0,25053.0
0,LSPD,2.22,11200.0,9600.0,18400.0,0.0,16800.0
0,TREE UW,2.18,0.0,0.0,0.0,0.0,0.0
0,4689,2.12,112000.0,96000.0,181700.0,88000.0,80000.0
0,AAPL,2.1,5978.0,5124.0,9821.0,0.0,8967.0
0,SI,2.06,10948.0,9384.0,17986.0,0.0,16422.0
0,SHOP,2.03,630.0,540.0,1035.0,0.0,945.0
0,6060,1.86,137200.0,117600.0,225400.0,0.0,205800.0
0,SPLK,1.82,3878.0,3324.0,6394.0,0.0,5817.0
0,FB,1.79,2576.0,2208.0,4232.0,0.0,3864.0
0,WDAY,1.78,2898.0,2484.0,4761.0,0.0,4347.0
0,INTU,1.59,1554.0,1332.0,2553.0,0.0,2331.0
0,TSM,1.52,4396.0,3768.0,7222.0,0.0,6615.0
0,TCS LI,1.46,11914.0,10212.0,19573.0,0.0,17871.0
0,PDD,1.43,3220.0,2748.0,5290.0,0.0,4809.0
0,SCHW,1.37,8456.0,7248.0,13892.0,0.0,12684.0
0,TDOC,1.35,2170.0,22966.0,3013.0,0.0,2751.0
0,GWRE,1.31,3794.0,3252.0,6233.0,0.0,5691.0
0,9923,1.29,72800.0,62400.0,119600.0,0.0,109200.0
0,OPEN,1.25,17472.0,14964.0,28704.0,0.0,26187.0
0,JD,1.16,4788.0,4104.0,7866.0,0.0,7182.0
0,4477,1.05,4200.0,3600.0,6900.0,1200.0,5100.0
0,BEKE,1.03,6006.0,5148.0,9867.0,0.0,9009.0
0,DSY,1.03,40306.0,34560.0,66217.0,0.0,60501.0
0,HDB,1.0,4844.0,4152.0,7958.0,0.0,7266.0
0,NVDA,1.0,700.0,600.0,1150.0,0.0,1050.0
0,LC,0.83,0.0,0.0,0.0,0.0,0.0
0,VRSK,0.71,1344.0,1152.0,2231.0,0.0,2016.0
0,MKTX,0.42,294.0,252.0,483.0,0.0,441.0
0,KSPI,0.12,728.0,624.0,1196.0,0.0,1092.0
