,date,ticker,shares,market value($),weight(%),shares_1d_chg,value_1d_chg,value_1d_chg_pct,value_5d_chg_pct
0,2020-12-10,CRSP,3155453.0,486760179.78,8.47,-5416.0,23281958.31,5.02,10.99
0,2020-12-10,PACB,20016038.0,439151873.72,7.65,-34360.0,18294019.70,4.35,22.98
0,2020-12-10,ARCT UQ,3842489.0,405190465.05,7.05,16390.0,64476349.10,18.92,12.60
0,2020-12-10,NVTA,6195551.0,355624627.4,6.19,-10636.0,29303314.94,8.98,14.44
0,2020-12-10,TWST,2296092.0,349465202.4,6.08,9795.0,27783214.50,8.64,39.39
0,2020-12-10,PSNL,5450145.0,213591182.55,3.72,23250.0,13935715.50,6.98,52.26
0,2020-12-10,FATE,2178331.0,210971357.35,3.67,9295.0,23132839.75,12.32,65.64
0,2020-12-10,CDNA,2901498.0,205048863.66,3.57,12380.0,17516214.28,9.34,29.07
0,2020-12-10,TDOC,1016431.0,202279933.31,3.52,4335.0,7674114.43,3.94,15.50
0,2020-12-10,IOVA,4054501.0,200616709.48,3.49,17295.0,14178536.40,7.60,32.67
0,2020-12-10,EXAS,1382145.0,183673249.05,3.2,5895.0,4306586.55,2.40,13.95
0,2020-12-10,CLLS,6051067.0,182863244.74,3.18,25815.0,15722754.26,9.41,15.96
0,2020-12-10,EDIT,2022952.0,135214111.68,2.35,-3472.0,32717585.76,31.92,100.80
0,2020-12-10,PSTG,6146439.0,134238227.76,2.34,26220.0,4918000.29,3.80,26.40
0,2020-12-10,VCYT,2196542.0,125466479.04,2.18,-36900.0,2939850.92,2.40,3.15
0,2020-12-10,NTLA,2184178.0,122008183.08,2.12,-3750.0,15434210.20,14.48,17.97
0,2020-12-10,ACCD,1682560.0,100482483.2,1.75,7180.0,6946017.80,7.43,38.69
0,2020-12-10,INCY,1165606.0,95637972.3,1.66,4975.0,1673286.54,1.78,10.90
0,2020-12-10,MCRB,3561614.0,89182814.56,1.55,-6114.0,3985469.92,4.68,-1.08
0,2020-12-10,BLI,944019.0,84961710.0,1.48,4023.0,2599260.48,3.16,30.51
0,2020-12-10,VRTX,373292.0,83632339.68,1.46,1595.0,230966.82,0.28,42.65
0,2020-12-10,TAK UN,4387494.0,82397137.32,1.43,305350.0,6142687.40,8.06,84.76
0,2020-12-10,CGEN,5735230.0,71575670.4,1.25,-9846.0,-639934.92,-0.89,-2.59
0,2020-12-10,NVS,734175.0,67309164.0,1.17,3130.0,338131.55,0.50,68.53
0,2020-12-10,CSTL,1126321.0,66633150.36,1.16,91132.0,6540428.91,10.88,53.34
0,2020-12-10,REGN,135862.0,65075180.76,1.13,580.0,-1029015.72,-1.56,80.51
0,2020-12-10,CERS,8174256.0,63595711.68,1.11,-14032.0,2511083.20,4.11,10.95
0,2020-12-10,ADPT,1098118.0,60649057.14,1.06,4685.0,4020162.07,7.10,29.30
0,2020-12-10,IONS,1307006.0,60618938.28,1.06,5575.0,-92817.87,-0.15,1.95
0,2020-12-10,SDGR,848285.0,57624000.05,1.0,3620.0,1698730.40,3.04,17.66
0,2020-12-10,TXG,378910.0,56631888.6,0.99,1615.0,2180674.20,4.00,15.30
0,2020-12-10,GOOGL,32126.0,56787523.9,0.99,19055.0,33549115.84,144.37,165.51
0,2020-12-10,BEAM,704851.0,54625952.5,0.95,3005.0,3503489.86,6.85,48.49
0,2020-12-10,RHHBY,1228439.0,53043996.02,0.92,108938.0,4558407.71,9.40,150.27
0,2020-12-10,PHR,935361.0,52716945.96,0.92,3990.0,3717517.65,7.59,40.58
0,2020-12-10,TMO,106076.0,49722064.24,0.87,59616.0,28286349.44,131.96,150.35
0,2020-12-10,NSTG,724508.0,49049191.6,0.85,3090.0,3549358.34,7.80,32.91
0,2020-12-10,GH,383920.0,48396955.2,0.84,1640.0,-3515.60,-0.01,15.79
0,2020-12-10,AQB,6337349.0,44361443.0,0.77,27035.0,-10348979.38,-18.92,24.50
0,2020-12-10,CDXS,2316671.0,40912409.86,0.71,9885.0,1316428.17,3.32,16.12
0,2020-12-10,SYRS,3167084.0,32430940.16,0.56,-5438.0,1276774.12,4.10,26.83
0,2020-12-10,EVGN,4594499.0,19802290.69,0.34,-7888.0,1714909.78,9.48,16.29
0,2020-12-10,PSTI,2706680.0,16835549.6,0.29,11550.0,-2030360.40,-10.76,-34.68
0,2020-12-10,RPTX,427705.0,15842193.2,0.28,1825.0,37786.40,0.24,18.04
0,2020-12-10,LGVW,847317.0,13057154.97,0.23,3620.0,-264820.66,-1.99,11.40
0,2020-12-10,SURF,745641.0,7217804.88,0.13,3185.0,847532.40,13.30,34.25
0,2020-12-10,ONVO ,375102.0,2865779.28,0.05,-646.0,-46267.72,-1.59,-6.19
0,2020-12-10,SRPT,7321.0,1171360.0,0.02,,nan,0,0
