,ticker,weight(%),2020-11-05,2020-11-04,2020-11-03,2020-11-02,2020-10-30
0,NVTA,9.09,0.0,0.0,0.0,0.0,0.0
0,CRSP,8.57,33209.0,24152.0,0.0,0.0,4113.0
0,PACB,6.8,198154.0,144112.0,0.0,0.0,36030.0
0,ARCT UQ,5.75,37576.0,7277.0,-24534.0,-20544.0,6986.0
0,TWST,5.24,21736.0,15808.0,0.0,0.0,3952.0
0,CDNA,3.87,28622.0,20816.0,0.0,0.0,5204.0
0,MCRB,3.85,43747.0,31816.0,0.0,0.0,7956.0
0,IOVA,3.84,38049.0,27672.0,0.0,0.0,-7912.0
0,TDOC,3.65,7018.0,5104.0,0.0,65947.0,35146.0
0,EXAS,3.54,11176.0,55728.0,0.0,46563.0,45936.0
0,PSNL,3.42,51150.0,37200.0,0.0,0.0,9300.0
0,FATE,2.76,22165.0,16120.0,0.0,0.0,4030.0
0,CGEN,2.72,0.0,0.0,0.0,0.0,-597.0
0,CLLS,2.57,56793.0,41304.0,0.0,0.0,10326.0
0,PSTG,2.5,57684.0,41952.0,0.0,0.0,10488.0
0,VCYT,2.43,23144.0,16832.0,0.0,0.0,4208.0
0,NTLA,2.17,0.0,0.0,0.0,0.0,0.0
0,INCY,2.11,9999.0,7272.0,0.0,0.0,1818.0
0,EDIT,2.03,0.0,0.0,0.0,0.0,0.0
0,ILMN,1.9,2442.0,-7383.0,0.0,-37268.0,554.0
0,CERS,1.5,0.0,0.0,0.0,0.0,0.0
0,IONS,1.49,12265.0,8920.0,0.0,0.0,2230.0
0,VRTX,1.49,2717.0,1976.0,0.0,0.0,494.0
0,ACCD,1.46,15796.0,58679.0,2617.0,26100.0,45490.0
0,TXG,1.32,3553.0,2584.0,0.0,0.0,646.0
0,ADPT,1.31,10307.0,7496.0,-21500.0,-37220.0,2012.0
0,SDGR,1.07,7964.0,5792.0,0.0,0.0,1448.0
0,TAK UN,1.07,25476.0,18528.0,0.0,0.0,4632.0
0,GH,1.06,3608.0,2616.0,0.0,0.0,656.0
0,NVS,0.98,4653.0,3384.0,0.0,0.0,846.0
0,SYRS,0.93,-44198.0,-113271.0,0.0,0.0,0.0
0,CSTL,0.9,6897.0,5016.0,0.0,0.0,1254.0
0,PHR,0.89,8778.0,6384.0,0.0,0.0,1596.0
0,CDXS,0.79,21747.0,15816.0,0.0,0.0,3954.0
0,NSTG,0.66,6798.0,4944.0,0.0,-20264.0,-3308.0
0,PSTI,0.64,25399.0,18472.0,0.0,0.0,4620.0
0,AQB,0.61,59488.0,43256.0,0.0,0.0,10818.0
0,BEAM,0.6,6611.0,4816.0,0.0,0.0,1202.0
0,TMO,0.56,440.0,320.0,0.0,0.0,80.0
0,REGN,0.51,341.0,248.0,0.0,0.0,62.0
0,EVGN,0.38,0.0,0.0,0.0,0.0,0.0
0,BLI,0.26,1331.0,968.0,0.0,0.0,242.0
0,RPTX,0.25,3542.0,2576.0,0.0,2219.0,638.0
0,SURF,0.17,6996.0,5088.0,0.0,0.0,1274.0
0,ONVO ,0.12,0.0,0.0,0.0,0.0,0.0
