,date,ticker,shares,market value($),weight(%),shares_1d_chg,value_1d_chg,value_1d_chg_pct,value_5d_chg_pct
0,2020-11-04,TSLA,2383801.0,1003532544.98,9.65,10035.0,-2706862.42,-0.27,-1.43
0,2020-11-04,NVTA,17638071.0,762141047.91,7.33,0.0,35452522.71,4.88,-2.47
0,2020-11-04,SQ,3462280.0,593053941.2,5.7,14580.0,47593324.20,8.73,-7.51
0,2020-11-04,ROKU,2544904.0,548884894.72,5.28,10719.0,33203589.07,6.44,-7.46
0,2020-11-04,CRSP,5727032.0,546988826.32,5.26,24111.0,51861225.10,10.47,2.04
0,2020-11-04,TDOC,1848814.0,367433294.36,3.53,7785.0,7990792.40,2.22,27.46
0,2020-11-04,PRLB,2636220.0,331531027.2,3.19,11097.0,5569504.29,1.71,8.29
0,2020-11-04,Z,3285959.0,328431602.05,3.16,13833.0,28410369.11,9.47,12.80
0,2020-11-04,TWOU,8139012.0,328409134.2,3.16,0.0,22056722.52,7.20,15.17
0,2020-11-04,TREE UW,910599.0,317598719.22,3.06,3834.0,9461836.92,3.07,3.65
0,2020-11-04,WORK,11781787.0,307858094.31,2.96,49608.0,10095391.29,3.39,-0.53
0,2020-11-04,PSTG,16509455.0,285943760.6,2.75,69516.0,7944392.11,2.86,4.32
0,2020-11-04,MCRB,8555727.0,284050136.4,2.73,-10775.0,24056800.70,9.25,14.47
0,2020-11-04,SPOT,1159796.0,277515986.88,2.67,4887.0,4345361.11,1.59,31.97
0,2020-11-04,IOVA,6214668.0,245976559.44,2.37,26172.0,16383357.84,7.14,10.33
0,2020-11-04,EDIT,7156600.0,217918470.0,2.1,0.0,15315124.00,7.56,-3.84
0,2020-11-04,PD,7405872.0,212992878.72,2.05,31185.0,16236229.56,8.25,3.12
0,2020-11-04,TWLO,675449.0,206815729.31,1.99,2844.0,18237465.46,9.67,4.33
0,2020-11-04,MTLS,5273655.0,191750095.8,1.84,22203.0,10312429.20,5.68,-3.74
0,2020-11-04,NTLA,6838048.0,185789764.16,1.79,0.0,12992291.20,7.52,11.14
0,2020-11-04,VCYT,4382387.0,175426951.61,1.69,18450.0,8637279.47,5.18,12.32
0,2020-11-04,EXAS,1365852.0,168204673.8,1.62,60547.0,3540448.05,2.15,60.20
0,2020-11-04,TSM,1867790.0,167073815.5,1.61,7866.0,3977079.94,2.44,7.94
0,2020-11-04,SPLK,768434.0,159073522.34,1.53,3240.0,10029035.02,6.73,1.82
0,2020-11-04,TWST,1715736.0,154296138.48,1.48,7227.0,6851811.78,4.65,14.39
0,2020-11-04,CGEN,10964794.0,149230846.34,1.44,0.0,5920988.76,4.13,1.53
0,2020-11-04,ICE,1391614.0,136879153.04,1.32,5859.0,3763527.74,2.83,30.42
0,2020-11-04,DOCU,573765.0,134840512.65,1.3,2421.0,15755282.73,13.23,8.95
0,2020-11-04,SNPS,494144.0,115288736.64,1.11,2079.0,6178243.54,5.66,8.38
0,2020-11-04,NSTG,2834026.0,110697055.56,1.06,-18354.0,2392186.96,2.21,3.33
0,2020-11-04,CERS,19261241.0,108826011.65,1.05,0.0,2311348.92,2.17,1.61
0,2020-11-04,HUYA,4700281.0,106414361.84,1.02,19791.0,2741508.34,2.64,10.19
0,2020-11-04,PYPL,541148.0,105139644.92,1.01,2277.0,8245250.41,8.51,0
0,2020-11-04,PINS,1673608.0,102843211.6,0.99,7047.0,3549507.22,3.57,-25.46
0,2020-11-04,ZM,205179.0,99245082.3,0.95,864.0,6994816.65,7.58,-5.15
0,2020-11-04,SSYS,7476938.0,96602038.96,0.93,0.0,-2616928.30,-2.64,-0.65
0,2020-11-04,IRDM,3555141.0,97162003.53,0.93,14967.0,-1467244.11,-1.49,9.11
0,2020-11-04,FB,337939.0,97116909.82,0.93,1422.0,7838949.72,8.78,8.63
0,2020-11-04,ZS,563865.0,81957777.75,0.79,2376.0,6353283.90,8.40,-14.85
0,2020-11-04,PACB,6633957.0,82261066.8,0.79,27936.0,-1701460.11,-2.03,-10.19
0,2020-11-04,NTDOY,1098898.0,75252535.04,0.72,4626.0,-1390275.84,-1.81,1.82
0,2020-11-04,U,684146.0,72827341.7,0.7,2880.0,6015585.08,9.00,25.75
0,2020-11-04,TCEHY,901663.0,70969894.73,0.68,115521.0,12032828.99,20.42,29.81
0,2020-11-04,SE,319369.0,56515538.24,0.54,1341.0,3598859.32,6.80,9.68
0,2020-11-04,DOYU,3034325.0,46667918.5,0.45,-473546.0,-6406169.73,-12.07,-21.97
0,2020-11-04,SYRS,5109012.0,42200439.12,0.41,0.0,3474128.16,8.97,-1.34
0,2020-11-04,XONE,1973507.0,19379838.74,0.19,0.0,-493376.75,-2.48,-8.57
0,2020-11-04,ONVO ,837151.0,7952934.5,0.08,0.0,527405.13,7.10,0.23
