,date,ticker,shares,market value($),weight(%),shares_1d_chg,value_1d_chg,value_1d_chg_pct,value_5d_chg_pct
0,2020-11-17,TSLA,221017.0,97603317.37,10.59,1534.0,8034499.90,8.97,18.18
0,2020-11-17,MTLS,1504847.0,61397757.6,6.66,10452.0,874760.10,1.45,14.82
0,2020-11-17,GOOG,23797.0,42124259.55,4.57,166.0,28468.77,0.07,6.15
0,2020-11-17,TWOU,1209050.0,40092098.0,4.35,0.0,616615.50,1.56,11.91
0,2020-11-17,DE,140031.0,36157404.51,3.92,972.0,127217.61,0.35,6.09
0,2020-11-17,PRLB,256150.0,33647864.0,3.65,1780.0,-76510.60,-0.23,3.63
0,2020-11-17,JD,385869.0,33559026.93,3.64,2680.0,888332.79,2.72,13.33
0,2020-11-17,TRMB,583369.0,33432877.39,3.63,4052.0,-509305.64,-1.50,2.66
0,2020-11-17,XLNX,241994.0,31558437.54,3.42,1680.0,2806.20,0.01,11.13
0,2020-11-17,BYDDY,687830.0,30532085.87,3.31,4776.0,-1427942.48,-4.47,-12.64
0,2020-11-17,KTOS,1442231.0,30070516.35,3.26,10016.0,323410.80,1.09,12.79
0,2020-11-17,IRDM,930475.0,29672847.75,3.22,6462.0,538717.86,1.85,10.54
0,2020-11-17,CAT,161133.0,27700374.03,3.0,1120.0,-12277.44,-0.04,4.11
0,2020-11-17,SSYS,1704221.0,23620503.06,2.56,0.0,374928.62,1.61,-4.81
0,2020-11-17,WKHS,1059073.0,22743592.68,2.47,7356.0,1793390.04,8.56,18.00
0,2020-11-17,TSM,234656.0,22458925.76,2.44,1630.0,-673565.26,-2.91,13.93
0,2020-11-17,NXPI,149475.0,22330070.25,2.42,1038.0,66004.62,0.30,11.16
0,2020-11-17,AVAV,262630.0,22105567.1,2.4,1824.0,307401.62,1.41,9.81
0,2020-11-17,FLIR,588894.0,21924523.62,2.38,4090.0,-432533.30,-1.93,7.73
0,2020-11-17,KMTUY,888114.0,21827621.84,2.37,6168.0,149389.16,0.69,5.02
0,2020-11-17,BIDU,140044.0,20155132.48,2.19,972.0,-405272.00,-1.97,4.83
0,2020-11-17,SPLK,98819.0,19575055.71,2.12,686.0,586320.21,3.09,10.02
0,2020-11-17,SPCE,883263.0,18857665.05,2.05,6134.0,534440.24,2.92,31.83
0,2020-11-17,SNPS,80079.0,17713474.8,1.92,556.0,32330.98,0.18,5.24
0,2020-11-17,TER,153682.0,16276460.62,1.77,1068.0,-80707.90,-0.49,12.60
0,2020-11-17,NIU,420337.0,14291458.0,1.55,2920.0,525045.34,3.81,6.77
0,2020-11-17,ANSS,41214.0,13179825.06,1.43,286.0,-26412.70,-0.20,4.46
0,2020-11-17,AMZN,4063.0,12740186.58,1.38,28.0,106359.48,0.84,7.77
0,2020-11-17,ISRG,16706.0,12515299.9,1.36,116.0,-63072.20,-0.50,4.30
0,2020-11-17,XONE,1003858.0,10500354.68,1.14,0.0,200771.60,1.95,-2.06
0,2020-11-17,NVDA,18728.0,10054875.92,1.09,130.0,611.14,0.01,9.68
0,2020-11-17,TCEHY,133922.0,10046828.44,1.09,930.0,-37954.92,-0.38,6.07
0,2020-11-17,ESLT,82837.0,10069665.72,1.09,576.0,83180.32,0.83,9.90
0,2020-11-17,NNDM,2122148.0,9486001.56,1.03,14744.0,613830.72,6.92,13.21
0,2020-11-17,ADSK,35829.0,9054346.59,0.98,248.0,202149.60,2.28,6.65
0,2020-11-17,AAPL,74745.0,8923805.55,0.97,520.0,-5461.95,-0.06,7.43
0,2020-11-17,ROK,36112.0,8714547.84,0.95,250.0,63916.20,0.74,1.10
0,2020-11-17,HON,24204.0,4969807.32,0.54,168.0,-43861.92,-0.87,6.08
0,2020-11-17,RAVN,175052.0,4269518.28,0.46,1216.0,-15539.12,-0.36,3.58
0,2020-11-17,ONVO ,198425.0,1777888.0,0.19,0.0,-15874.00,-0.88,-1.65
