,ticker,weight(%),2020-11-12,2020-11-11,2020-11-10,2020-11-09,2020-11-06
0,TSLA,9.65,2187.0,729.0,0.0,2187.0,2187.0
0,MTLS,6.67,15678.0,5225.0,0.0,15678.0,15678.0
0,GOOG,4.65,249.0,83.0,0.0,249.0,249.0
0,TWOU,4.46,0.0,0.0,0.0,0.0,0.0
0,BYDDY,4.23,8370.0,2790.0,0.0,8370.0,8370.0
0,DE,3.88,1458.0,486.0,0.0,1458.0,1458.0
0,JD,3.72,4020.0,1340.0,0.0,4020.0,4020.0
0,TRMB,3.7,6078.0,2026.0,0.0,6078.0,6078.0
0,PRLB,3.64,2667.0,889.0,0.0,2667.0,2667.0
0,XLNX,3.45,2520.0,840.0,0.0,2520.0,2520.0
0,IRDM,3.17,9693.0,3231.0,0.0,9693.0,9693.0
0,KTOS,3.13,15024.0,5008.0,0.0,15027.0,15027.0
0,CAT,3.04,1680.0,560.0,0.0,1680.0,1677.0
0,SSYS,2.77,0.0,0.0,0.0,0.0,0.0
0,WKHS,2.43,11034.0,3677.0,0.0,11034.0,11034.0
0,KMTUY,2.41,9252.0,3084.0,0.0,9252.0,9255.0
0,NXPI,2.41,1557.0,519.0,0.0,1557.0,1557.0
0,TSM,2.35,2445.0,815.0,0.0,2445.0,2445.0
0,AVAV,2.34,2736.0,912.0,0.0,2736.0,2736.0
0,FLIR,2.33,6135.0,2045.0,0.0,6135.0,6135.0
0,BIDU,2.23,1458.0,486.0,0.0,1458.0,1458.0
0,SPLK,2.12,1029.0,343.0,0.0,1029.0,1029.0
0,SNPS,2.0,834.0,278.0,0.0,834.0,834.0
0,SPCE,1.76,7596.0,2532.0,0.0,7599.0,7599.0
0,TER,1.72,1602.0,534.0,0.0,1602.0,1602.0
0,NIU,1.7,4989.0,1663.0,0.0,4989.0,4989.0
0,ANSS,1.49,429.0,143.0,0.0,13269.0,288.0
0,AMZN,1.41,42.0,14.0,0.0,42.0,42.0
0,ISRG,1.38,174.0,58.0,0.0,174.0,174.0
0,XONE,1.21,0.0,0.0,0.0,0.0,0.0
0,NVDA,1.13,195.0,65.0,0.0,195.0,195.0
0,TCEHY,1.1,1395.0,465.0,0.0,1395.0,1395.0
0,ESLT,1.06,864.0,288.0,0.0,864.0,864.0
0,AAPL,0.99,780.0,260.0,0.0,780.0,780.0
0,ADSK,0.98,372.0,124.0,0.0,6835.0,303.0
0,ROK,0.95,375.0,125.0,0.0,375.0,375.0
0,NNDM,0.85,22107.0,7370.0,0.0,22119.0,22107.0
0,HON,0.53,252.0,84.0,0.0,252.0,252.0
0,RAVN,0.45,1824.0,608.0,0.0,1824.0,1824.0
0,ONVO ,0.21,0.0,0.0,0.0,0.0,0.0
