,date,ticker,shares,market value($),weight(%),shares_1d_chg,value_1d_chg,value_1d_chg_pct,value_5d_chg_pct
0,2020-12-10,TSLA,758604.0,475697810.28,9.87,4544.0,19883621.48,4.36,13.50
0,2020-12-10,ROKU,1195491.0,384936147.09,7.99,7160.0,21033544.96,5.78,19.62
0,2020-12-10,SQ,1143103.0,248339126.75,5.15,6848.0,13088891.55,5.56,13.52
0,2020-12-10,SPOT,528293.0,181362986.9,3.76,3164.0,6783850.85,3.89,16.52
0,2020-12-10,TDOC,800118.0,159231483.18,3.3,4792.0,6306199.90,4.12,14.06
0,2020-12-10,PSTG,6469044.0,141283920.96,2.93,38740.0,5411597.44,3.98,21.15
0,2020-12-10,PINS,1741503.0,124761274.92,2.59,10428.0,6234569.67,5.26,10.38
0,2020-12-10,FB,446330.0,123686969.6,2.57,2672.0,385538.24,0.31,5.59
0,2020-12-10,GBTC,5687447.0,122109487.09,2.53,34060.0,8646010.00,7.62,-3.93
0,2020-12-10,PD,2802689.0,120319438.77,2.5,0.0,4792598.19,4.15,32.66
0,2020-12-10,SNAP,2191055.0,116454573.25,2.42,13120.0,9409068.00,8.79,19.04
0,2020-12-10,TWLO,347446.0,116224161.46,2.41,2080.0,8283471.82,7.67,12.35
0,2020-12-10,SE,517717.0,102999797.15,2.14,3100.0,-1302776.41,-1.25,16.42
0,2020-12-10,FSLY,1056399.0,102312243.15,2.12,6328.0,6619272.92,6.92,25.60
0,2020-12-10,TCEHY,1328037.0,100718326.08,2.09,7952.0,2253185.93,2.29,6.54
0,2020-12-10,U,615349.0,97335904.82,2.02,3684.0,4362824.82,4.69,16.62
0,2020-12-10,PYPL,452531.0,97448025.54,2.02,2712.0,2626180.34,2.77,7.80
0,2020-12-10,TREE UW,352863.0,96677404.74,2.01,2112.0,3289950.99,3.52,22.87
0,2020-12-10,VCYT,1670364.0,95411191.68,1.98,0.0,3775022.64,4.12,5.63
0,2020-12-10,NFLX,189756.0,95084834.04,1.97,1136.0,1982002.04,2.13,8.16
0,2020-12-10,ICE,811386.0,88635806.64,1.84,4860.0,-219162.78,-0.25,9.18
0,2020-12-10,Z,726418.0,87961955.62,1.82,4352.0,3314158.44,3.92,21.23
0,2020-12-10,HUYA,4044082.0,80881640.0,1.68,24220.0,162811.04,0.20,10.77
0,2020-12-10,BEKE,1184472.0,80544096.0,1.67,7096.0,1424428.80,1.80,15.70
0,2020-12-10,IPOB,2773742.0,72727515.24,1.51,16612.0,-1218711.36,-1.65,31.46
0,2020-12-10,DOCU,317501.0,70672547.59,1.47,1900.0,934194.62,1.34,16.07
0,2020-12-10,SHOP,65268.0,69665105.16,1.45,392.0,2311490.72,3.43,7.89
0,2020-12-10,MELI,41570.0,66076346.4,1.37,248.0,2583440.52,4.07,9.37
0,2020-12-10,TWOU,1911052.0,65472641.52,1.36,0.0,3057683.20,4.90,6.63
0,2020-12-10,CRWD,351985.0,63353780.15,1.31,2108.0,5214719.06,8.97,19.92
0,2020-12-10,API,1456479.0,62657726.58,1.3,8724.0,-73497.57,-0.12,17.26
0,2020-12-10,TTD,62426.0,57280849.08,1.19,372.0,2346925.04,4.27,11.04
0,2020-12-10,NTDOY,803012.0,57134303.8,1.19,4808.0,1176212.38,2.10,12.65
0,2020-12-10,ZM,142614.0,56754667.44,1.18,856.0,2126804.56,3.89,30.56
0,2020-12-10,NET,672572.0,56529676.6,1.17,4028.0,4844539.96,9.37,21.77
0,2020-12-10,HUBS,132902.0,52514896.28,1.09,796.0,2371421.86,4.73,9.42
0,2020-12-10,TSM,505316.0,52669086.68,1.09,3028.0,220173.72,0.42,12.50
0,2020-12-10,JD,615327.0,50278369.17,1.04,3684.0,233738.91,0.47,1.69
0,2020-12-10,PTON,409299.0,48293189.01,1.0,2452.0,3218609.88,7.14,0
0,2020-12-10,CRM,207182.0,46185011.44,0.96,1240.0,760384.50,1.67,28618.79
0,2020-12-10,TEAM,203476.0,46227712.44,0.96,1220.0,1015406.20,2.25,7.88
0,2020-12-10,SPLK,296810.0,45557366.9,0.95,1776.0,-346973.16,-0.76,4.31
0,2020-12-10,ADYEY,1046261.0,44623031.65,0.93,6268.0,768606.83,1.75,14.34
0,2020-12-10,LC,4673794.0,42858690.98,0.89,0.0,747807.04,1.78,12.38
0,2020-12-10,OKTA,169641.0,42035343.39,0.87,1016.0,2850265.89,7.27,9.81
0,2020-12-10,BABA,151660.0,40170184.2,0.83,908.0,401806.60,1.01,6.57
0,2020-12-10,SNPS,168927.0,39557635.59,0.82,1012.0,472061.04,1.21,7.26
0,2020-12-10,NVDA,72905.0,37829675.45,0.78,436.0,346534.58,0.92,3.99
0,2020-12-10,ADBE,75352.0,35933108.24,0.75,452.0,-299017.76,-0.83,5.77
0,2020-12-10,PLTR,1221986.0,33042501.44,0.69,7320.0,695945.86,2.15,20.85
0,2020-12-10,WORK,28817.0,1219535.44,0.03,172.0,13867.39,1.15,-98.80
