,ticker,weight(%),2021-01-11,2021-01-08,2021-01-07,2021-01-06,2021-01-05
0,TSLA,10.06,7664.0,-19511.0,-17007.0,1027.0,5135.0
0,ROKU,5.94,9112.0,15946.0,1139.0,1139.0,-43545.0
0,SQ,4.18,11456.0,20062.0,1432.0,1432.0,7160.0
0,GBTC,4.12,68120.0,119224.0,8515.0,8514.0,42575.0
0,TDOC,3.71,10376.0,18158.0,1296.0,1296.0,6480.0
0,SPOT,3.27,5872.0,10276.0,734.0,734.0,3670.0
0,TCEHY,3.14,25600.0,422214.0,2687.0,2687.0,13435.0
0,PSTG,2.64,0.0,0.0,-297419.0,0.0,46845.0
0,SNAP,2.31,26248.0,45934.0,3280.0,3280.0,16400.0
0,PINS,2.22,19176.0,33558.0,2397.0,2397.0,11985.0
0,FB,2.22,5344.0,9352.0,668.0,668.0,3340.0
0,ICE,2.1,11040.0,19320.0,122771.0,1215.0,6075.0
0,SE,2.1,6200.0,10850.0,775.0,775.0,3875.0
0,PYPL,2.08,5424.0,9492.0,678.0,678.0,3390.0
0,NFLX,2.06,2552.0,4466.0,319.0,319.0,1595.0
0,Z,2.02,8704.0,15232.0,1088.0,1088.0,5440.0
0,SHOP,1.97,1032.0,1806.0,129.0,129.0,645.0
0,TWLO,1.85,3168.0,5544.0,396.0,396.0,1980.0
0,FSLY,1.74,12656.0,22148.0,1582.0,1582.0,7910.0
0,DOCU,1.73,4448.0,7784.0,59555.0,475.0,2375.0
0,PD,1.68,0.0,0.0,-130161.0,0.0,0.0
0,OPEN,1.66,39032.0,68320.0,4879.0,124416.0,310149.0
0,TREE UW,1.65,0.0,0.0,0.0,0.0,0.0
0,HUYA,1.63,48440.0,84784.0,6054.0,6055.0,30270.0
0,NVDA,1.5,1704.0,2982.0,213.0,213.0,1065.0
0,BEKE,1.48,14184.0,24836.0,1773.0,1773.0,8865.0
0,MELI,1.42,496.0,868.0,62.0,62.0,310.0
0,VCYT,1.41,0.0,0.0,0.0,0.0,0.0
0,TWOU,1.4,0.0,0.0,0.0,0.0,0.0
0,ZM,1.34,2456.0,4298.0,307.0,307.0,1535.0
0,BIDU,1.25,3512.0,6146.0,134476.0,257.0,1280.0
0,NTDOY,1.23,9616.0,16828.0,1202.0,1202.0,6010.0
0,U,1.22,5352.0,9366.0,669.0,669.0,-61610.0
0,PTON,1.21,4904.0,8582.0,613.0,613.0,3065.0
0,API,1.2,17448.0,30548.0,2181.0,2181.0,10905.0
0,BABA,1.17,3168.0,5544.0,396.0,396.0,1980.0
0,TTD,1.14,904.0,1582.0,113.0,113.0,565.0
0,JD,1.08,7368.0,12894.0,921.0,921.0,4605.0
0,CRWD,1.07,2856.0,4998.0,357.0,357.0,1785.0
0,HUBS,1.04,1592.0,2786.0,199.0,199.0,995.0
0,TSM,1.03,5216.0,9128.0,652.0,652.0,3260.0
0,NET,1.0,8056.0,14098.0,1007.0,1007.0,5035.0
0,AAPL,0.98,4696.0,8218.0,587.0,587.0,2935.0
0,SPLK,0.96,3552.0,6216.0,445.0,445.0,2225.0
0,ADBE,0.92,1200.0,2100.0,150.0,150.0,750.0
0,TEAM,0.91,2440.0,4270.0,305.0,305.0,1525.0
0,CRM,0.88,2480.0,4340.0,310.0,310.0,1550.0
0,LC,0.87,0.0,0.0,0.0,0.0,0.0
0,ADYEY,0.86,12536.0,21938.0,1567.0,1567.0,7830.0
0,SNPS,0.85,2024.0,3542.0,253.0,253.0,1265.0
0,OKTA,0.83,2032.0,3556.0,254.0,254.0,1270.0
0,PLTR,0.61,14640.0,25620.0,1830.0,1830.0,9150.0
0,NNDM,0.6,40224.0,70406.0,5028.0,5029.0,25140.0
0,SKLZ,0.19,5048.0,8834.0,631.0,631.0,246122.0
